,Id,Response
0,1,1
1,3,5
2,4,5
3,9,8
4,12,5
5,13,8
6,21,5
7,28,8
8,30,8
9,36,8
10,38,8
11,43,8
12,45,2
13,48,8
14,50,2
15,51,8
16,54,8
17,55,8
18,59,8
19,62,1
20,63,8
21,66,8
22,69,8
23,82,8
24,83,5
25,84,8
26,86,8
27,89,8
28,90,5
29,92,8
30,98,8
31,100,2
32,105,8
33,115,8
34,119,1
35,124,2
36,127,8
37,133,8
38,140,8
39,141,8
40,143,1
41,151,8
42,154,8
43,157,8
44,163,8
45,166,1
46,168,8
47,170,2
48,173,8
49,180,5
50,182,8
51,184,5
52,185,8
53,195,8
54,196,2
55,197,5
56,212,8
57,213,5
58,219,8
59,225,5
60,227,8
61,232,1
62,239,8
63,247,5
64,251,8
65,254,5
66,261,8
67,264,5
68,267,8
69,272,8
70,275,8
71,277,1
72,283,8
73,284,1
74,287,8
75,291,8
76,293,8
77,294,5
78,305,8
79,307,1
80,309,8
81,311,8
82,322,2
83,323,2
84,326,8
85,330,5
86,335,8
87,337,8
88,338,8
89,341,1
90,346,8
91,348,8
92,352,2
93,356,8
94,358,1
95,366,8
96,369,5
97,373,5
98,375,8
99,381,5
100,384,8
101,386,5
102,396,2
103,397,1
104,399,8
105,405,8
106,412,8
107,417,1
108,421,5
109,425,8
110,427,8
111,430,8
112,432,5
113,433,8
114,436,8
115,438,8
116,441,8
117,442,8
118,444,5
119,446,8
120,448,5
121,450,8
122,454,8
123,465,8
124,470,8
125,472,5
126,475,5
127,484,8
128,495,8
129,497,8
130,498,8
131,501,1
132,502,8
133,505,8
134,515,5
135,516,8
136,527,8
137,529,1
138,531,8
139,533,8
140,537,2
141,541,8
142,546,8
143,548,8
144,549,8
145,550,8
146,553,8
147,559,8
148,561,8
149,564,1
150,574,8
151,578,5
152,579,5
153,580,8
154,582,5
155,584,8
156,588,5
157,596,8
158,602,1
159,603,1
160,613,8
161,614,1
162,619,8
163,620,8
164,624,8
165,625,8
166,628,5
167,630,8
168,635,8
169,636,8
170,637,8
171,641,8
172,644,8
173,648,8
174,654,8
175,658,8
176,664,8
177,666,5
178,667,8
179,670,8
180,672,8
181,674,8
182,676,8
183,684,8
184,685,5
185,693,1
186,694,8
187,700,2
188,702,5
189,703,8
190,705,5
191,711,8
192,718,1
193,722,8
194,726,8
195,727,5
196,732,8
197,735,8
198,740,8
199,748,8
200,750,8
201,751,8
202,756,8
203,762,8
204,766,8
205,770,8
206,771,8
207,779,8
208,782,5
209,784,8
210,793,8
211,798,5
212,800,5
213,801,8
214,805,8
215,807,8
216,813,8
217,819,8
218,820,8
219,822,8
220,823,8
221,833,8
222,834,5
223,842,2
224,845,8
225,856,8
226,860,5
227,864,1
228,869,8
229,872,8
230,877,5
231,878,8
232,893,2
233,894,8
234,896,8
235,899,8
236,900,8
237,911,1
238,914,8
239,917,1
240,919,8
241,923,1
242,925,8
243,926,5
244,934,8
245,938,8
246,940,8
247,955,5
248,956,8
249,971,8
250,973,8
251,978,8
252,979,8
253,981,8
254,988,8
255,990,8
256,992,5
257,996,8
258,997,5
259,999,5
260,1000,8
261,1006,1
262,1009,2
263,1018,8
264,1025,5
265,1038,8
266,1042,8
267,1045,8
268,1046,8
269,1047,5
270,1050,5
271,1052,8
272,1054,8
273,1057,8
274,1061,2
275,1069,1
276,1071,8
277,1073,5
278,1074,8
279,1075,1
280,1083,8
281,1084,1
282,1089,8
283,1099,8
284,1103,1
285,1110,8
286,1123,8
287,1130,8
288,1135,8
289,1137,8
290,1145,8
291,1147,5
292,1152,8
293,1153,1
294,1154,8
295,1158,8
296,1166,5
297,1170,5
298,1172,5
299,1178,8
300,1179,8
301,1181,5
302,1182,8
303,1183,8
304,1191,8
305,1192,1
306,1200,1
307,1205,8
308,1207,8
309,1208,5
310,1209,1
311,1217,8
312,1223,8
313,1225,8
314,1226,5
315,1228,1
316,1230,5
317,1232,8
318,1235,8
319,1237,8
320,1257,8
321,1266,1
322,1267,5
323,1274,8
324,1277,8
325,1278,8
326,1280,8
327,1282,8
328,1293,5
329,1294,2
330,1305,8
331,1306,8
332,1311,8
333,1318,8
334,1320,8
335,1323,8
336,1325,5
337,1328,5
338,1336,8
339,1340,8
340,1341,8
341,1344,8
342,1345,8
343,1348,2
344,1358,1
345,1361,8
346,1364,5
347,1373,8
348,1377,5
349,1378,8
350,1380,8
351,1382,8
352,1383,8
353,1386,8
354,1387,1
355,1390,1
356,1395,8
357,1398,8
358,1402,5
359,1403,8
360,1405,8
361,1407,8
362,1410,1
363,1412,1
364,1419,1
365,1426,8
366,1428,8
367,1436,5
368,1437,1
369,1438,5
370,1441,8
371,1444,8
