,Id,Response
0,1,2
1,3,8
2,4,5
3,9,7
4,12,7
5,13,8
6,21,7
7,28,6
8,30,6
9,36,8
10,38,8
11,43,6
12,45,3
13,48,8
14,50,6
15,51,6
16,54,7
17,55,7
18,59,8
19,62,2
20,63,8
21,66,8
22,69,8
23,82,8
24,83,4
25,84,7
26,86,7
27,89,8
28,90,5
29,92,8
30,98,5
31,100,2
32,105,5
33,115,8
34,119,1
35,124,1
36,127,8
37,133,5
38,140,6
39,141,8
40,143,1
41,151,4
42,154,8
43,157,8
44,163,5
45,166,1
46,168,7
47,170,6
48,173,8
49,180,8
50,182,7
51,184,6
52,185,6
53,195,8
54,196,6
55,197,6
56,212,6
57,213,8
58,219,8
59,225,4
60,227,3
61,232,6
62,239,5
63,247,8
64,251,4
65,254,7
66,261,7
67,264,5
68,267,8
69,272,8
70,275,7
71,277,4
72,283,8
73,284,5
74,287,8
75,291,8
76,293,6
77,294,4
78,305,7
79,307,7
80,309,7
81,311,4
82,322,3
83,323,2
84,326,6
85,330,1
86,335,8
87,337,6
88,338,5
89,341,1
90,346,5
91,348,5
92,352,2
93,356,8
94,358,4
95,366,7
96,369,5
97,373,6
98,375,3
99,381,6
100,384,8
101,386,6
102,396,7
103,397,1
104,399,6
105,405,8
106,412,8
107,417,2
108,421,5
109,425,8
110,427,8
111,430,6
112,432,7
113,433,7
114,436,8
115,438,7
116,441,8
117,442,6
118,444,6
119,446,7
120,448,7
121,450,6
122,454,8
123,465,7
124,470,2
125,472,6
126,475,8
127,484,7
128,495,7
129,497,8
130,498,7
131,501,5
132,502,6
133,505,8
134,515,5
135,516,6
136,527,8
137,529,1
138,531,7
139,533,6
140,537,2
141,541,8
142,546,8
143,548,6
144,549,8
145,550,6
146,553,7
147,559,8
148,561,3
149,564,1
150,574,6
151,578,6
152,579,6
153,580,8
154,582,7
155,584,8
156,588,4
157,596,6
158,602,6
159,603,1
160,613,8
161,614,2
162,619,7
163,620,7
164,624,5
165,625,8
166,628,3
167,630,5
168,635,6
169,636,6
170,637,8
171,641,8
172,644,8
173,648,8
174,654,8
175,658,6
176,664,8
177,666,7
178,667,8
179,670,8
180,672,6
181,674,8
182,676,6
183,684,8
184,685,3
185,693,4
186,694,6
187,700,2
188,702,3
189,703,4
190,705,6
191,711,7
192,718,6
193,722,7
194,726,6
195,727,3
196,732,8
197,735,6
198,740,3
199,748,8
200,750,6
201,751,8
202,756,6
203,762,8
204,766,8
205,770,7
206,771,4
207,779,6
208,782,4
209,784,8
210,793,6
211,798,6
212,800,6
213,801,6
214,805,7
215,807,7
216,813,8
217,819,8
218,820,6
219,822,8
220,823,7
221,833,8
222,834,6
223,842,4
224,845,6
225,856,5
226,860,6
227,864,2
228,869,7
229,872,5
230,877,6
231,878,6
232,893,8
233,894,6
234,896,6
235,899,6
236,900,8
237,911,1
238,914,6
239,917,1
240,919,7
241,923,1
242,925,5
243,926,4
244,934,7
245,938,8
246,940,5
247,955,5
248,956,6
249,971,6
250,973,7
251,978,6
252,979,8
253,981,7
254,988,8
255,990,6
256,992,6
257,996,8
258,997,6
259,999,6
260,1000,8
261,1006,6
262,1009,1
263,1018,7
264,1025,5
265,1038,6
266,1042,7
267,1045,5
268,1046,8
269,1047,5
270,1050,5
271,1052,7
272,1054,8
273,1057,7
274,1061,2
275,1069,6
276,1071,6
277,1073,6
278,1074,8
279,1075,4
280,1083,5
281,1084,1
282,1089,4
283,1099,3
284,1103,1
285,1110,8
286,1123,8
287,1130,6
288,1135,7
289,1137,6
290,1145,8
291,1147,5
292,1152,8
293,1153,1
294,1154,8
295,1158,8
296,1166,6
297,1170,7
298,1172,7
299,1178,6
300,1179,8
301,1181,1
302,1182,7
303,1183,8
304,1191,7
305,1192,2
306,1200,2
307,1205,6
308,1207,7
309,1208,1
310,1209,1
311,1217,3
312,1223,8
313,1225,8
314,1226,5
315,1228,5
316,1230,4
317,1232,8
318,1235,8
319,1237,7
320,1257,6
321,1266,2
322,1267,7
323,1274,6
324,1277,8
325,1278,5
326,1280,8
327,1282,8
328,1293,6
329,1294,2
330,1305,8
331,1306,7
332,1311,6
333,1318,6
334,1320,8
335,1323,8
336,1325,4
337,1328,4
338,1336,5
339,1340,7
340,1341,8
341,1344,6
342,1345,6
343,1348,2
344,1358,1
345,1361,8
346,1364,6
347,1373,8
348,1377,6
349,1378,8
350,1380,6
351,1382,6
352,1383,5
353,1386,8
354,1387,1
355,1390,5
356,1395,6
357,1398,6
358,1402,1
359,1403,7
360,1405,8
361,1407,6
362,1410,1
363,1412,4
364,1419,6
365,1426,6
366,1428,8
367,1436,7
368,1437,4
369,1438,6
370,1441,8
371,1444,4
372,1448,4
373,1454,5
374,1457,6
375,1459,8
376,1463,7
377,1467,2
378,1471,6
379,1475,5
380,1476,2
381,1480,6
382,1481,1
383,1482,5
384,1489,3
385,1491,8
386,1494,8
387,1496,8
388,1500,8
389,1501,8
390,1503,7
391,1504,3
392,1505,1
393,1515,2
394,1517,6
395,1520,4
396,1521,3
397,1523,8
398,1526,8
399,1529,6
400,1530,7
401,1543,6
402,1544,8
403,1547,6
404,1550,8
405,1552,5
406,1554,6
407,1563,7
408,1574,6
409,1575,1
410,1576,5
411,1579,3
412,1582,3
413,1584,8
414,1585,8
415,1589,6
416,1596,6
417,1598,2
418,1611,8
419,1613,4
420,1615,6
421,1618,5
422,1627,6
423,1630,2
424,1638,8
425,1639,6
426,1640,8
427,1642,8
428,1645,6
429,1648,6
430,1654,5
431,1661,6
432,1662,7
433,1663,7
434,1666,4
435,1668,2
436,1670,1
437,1672,8
438,1681,6
439,1682,7
440,1683,1
441,1687,8
442,1688,7
443,1693,6
444,1694,7
445,1700,8
446,1704,7
447,1712,8
448,1716,8
449,1717,6
450,1722,5
451,1724,5
452,1738,1
453,1739,1
454,1740,8
455,1761,8
456,1763,8
457,1765,8
458,1766,7
459,1767,8
460,1771,6
461,1772,6
462,1777,8
463,1784,4
464,1799,6
465,1806,7
466,1810,1
467,1812,6
468,1814,1
469,1818,6
470,1819,6
471,1822,5
472,1823,8
473,1824,3
474,1834,4
475,1835,7
476,1844,6
477,1848,4
478,1849,8
479,1850,6
480,1851,5
481,1856,3
482,1862,3
483,1863,5
484,1872,4
485,1874,2
486,1875,8
487,1877,8
488,1900,5
489,1902,6
490,1904,4
491,1905,5
492,1908,8
493,1914,8
494,1916,1
495,1922,3
496,1933,6
497,1934,5
498,1939,7
499,1942,5
500,1947,8
501,1957,7
502,1971,7
503,1973,6
504,1974,6
505,1977,6
506,1981,6
507,1985,8
508,1987,6
509,1989,7
510,2001,3
511,2002,1
512,2007,4
513,2008,7
514,2011,3
515,2021,7
516,2034,8
517,2040,6
518,2044,2
519,2045,8
520,2048,7
521,2051,8
522,2062,8
523,2066,1
524,2068,4
525,2069,3
526,2074,7
527,2075,8
528,2078,7
529,2079,1
530,2080,4
531,2081,5
532,2084,2
533,2085,7
534,2087,7
535,2096,6
536,2102,6
537,2103,6
538,2107,8
539,2117,7
540,2118,2
541,2120,6
542,2121,4
543,2122,6
544,2130,8
545,2136,5
546,2138,8
547,2140,8
548,2143,7
549,2144,5
550,2145,6
551,2147,6
552,2150,1
553,2154,8
554,2155,1
555,2166,2
556,2169,1
557,2173,6
558,2176,1
559,2178,7
560,2179,4
561,2180,6
562,2184,8
563,2185,8
564,2188,6
565,2190,7
566,2194,5
567,2195,7
568,2198,2
569,2205,8
570,2206,6
571,2207,5
572,2212,6
573,2213,6
574,2216,8
575,2218,1
576,2224,8
577,2225,6
578,2228,8
579,2236,7
580,2242,8
581,2246,6
582,2250,7
583,2255,6
584,2256,2
585,2267,5
586,2268,6
587,2269,8
588,2272,6
589,2275,3
590,2280,8
591,2282,8
592,2287,6
