,Id,Response
0,1,4
1,3,4
2,4,6
3,9,7
4,12,4
5,13,7
6,21,6
7,28,8
8,30,4
9,36,8
10,38,8
11,43,8
12,45,2
13,48,8
14,50,6
15,51,8
16,54,4
17,55,4
18,59,4
19,62,1
20,63,8
21,66,8
22,69,8
23,82,8
24,83,5
25,84,6
26,86,7
27,89,7
28,90,6
29,92,7
30,98,6
31,100,1
32,105,6
33,115,8
34,119,1
35,124,1
36,127,8
37,133,7
38,140,7
39,141,8
40,143,1
41,151,1
42,154,8
43,157,8
44,163,1
45,166,1
46,168,8
47,170,4
48,173,6
49,180,4
50,182,6
51,184,4
52,185,4
53,195,6
54,196,1
55,197,6
56,212,8
57,213,6
58,219,8
59,225,4
60,227,8
61,232,4
62,239,8
63,247,4
64,251,7
65,254,4
66,261,8
67,264,5
68,267,7
69,272,8
70,275,8
71,277,4
72,283,7
73,284,1
74,287,7
75,291,8
76,293,8
77,294,6
78,305,7
79,307,4
80,309,8
81,311,7
82,322,1
83,323,1
84,326,7
85,330,1
86,335,8
87,337,8
88,338,8
89,341,1
90,346,6
91,348,6
92,352,1
93,356,8
94,358,1
95,366,4
96,369,6
97,373,5
98,375,1
99,381,6
100,384,8
101,386,4
102,396,5
103,397,4
104,399,6
105,405,8
106,412,8
107,417,1
108,421,1
109,425,8
110,427,8
111,430,4
112,432,4
113,433,8
114,436,8
115,438,4
116,441,4
117,442,7
118,444,6
119,446,8
120,448,4
121,450,8
122,454,8
123,465,8
124,470,1
125,472,1
126,475,4
127,484,8
128,495,7
129,497,8
130,498,8
131,501,4
132,502,8
133,505,8
134,515,4
135,516,8
136,527,8
137,529,7
138,531,4
139,533,8
140,537,1
141,541,8
142,546,6
143,548,8
144,549,8
145,550,8
146,553,8
147,559,7
148,561,4
149,564,4
150,574,6
151,578,6
152,579,4
153,580,8
154,582,4
155,584,6
156,588,4
157,596,4
158,602,1
159,603,1
160,613,8
161,614,1
162,619,8
163,620,8
164,624,8
165,625,8
166,628,6
167,630,7
168,635,7
169,636,4
170,637,8
171,641,8
172,644,8
173,648,8
174,654,7
175,658,6
176,664,6
177,666,6
178,667,7
