,Id,Response
0,1,3
1,3,7
2,4,7
3,9,7
4,12,7
5,13,8
6,21,6
7,28,8
8,30,4
9,36,8
10,38,8
11,43,6
12,45,3
13,48,8
14,50,5
15,51,7
16,54,6
17,55,7
18,59,8
19,62,3
20,63,8
21,66,8
22,69,8
23,82,8
24,83,7
25,84,6
26,86,8
27,89,8
28,90,3
29,92,7
30,98,6
31,100,1
32,105,4
33,115,8
34,119,1
35,124,1
36,127,8
37,133,7
38,140,4
39,141,8
40,143,2
41,151,3
42,154,8
43,157,8
44,163,4
45,166,1
46,168,8
47,170,5
48,173,8
49,180,6
50,182,8
51,184,5
52,185,7
53,195,7
54,196,6
55,197,4
56,212,5
57,213,8
58,219,8
59,225,3
60,227,4
61,232,4
62,239,5
63,247,6
64,251,4
65,254,5
66,261,7
67,264,7
68,267,8
69,272,8
70,275,8
71,277,3
72,283,7
73,284,2
74,287,7
75,291,8
76,293,6
77,294,3
78,305,7
79,307,5
80,309,8
81,311,4
82,322,3
83,323,3
84,326,5
85,330,1
86,335,8
87,337,8
88,338,4
89,341,1
90,346,6
91,348,5
92,352,2
93,356,8
94,358,2
95,366,6
96,369,4
97,373,5
98,375,3
99,381,6
100,384,8
101,386,5
102,396,7
103,397,1
104,399,7
105,405,8
106,412,8
107,417,3
108,421,5
109,425,8
110,427,8
111,430,4
112,432,4
113,433,8
114,436,8
115,438,7
116,441,8
117,442,5
118,444,4
119,446,8
120,448,7
121,450,6
122,454,8
123,465,8
124,470,5
125,472,4
126,475,8
127,484,8
128,495,8
129,497,8
130,498,8
131,501,4
132,502,6
133,505,8
134,515,3
135,516,6
136,527,8
137,529,3
138,531,8
139,533,6
140,537,1
141,541,8
142,546,8
143,548,6
144,549,8
145,550,7
146,553,7
147,559,7
148,561,3
149,564,1
150,574,5
151,578,7
152,579,6
153,580,8
154,582,5
155,584,8
156,588,5
157,596,5
158,602,3
159,603,3
160,613,7
161,614,1
162,619,8
163,620,7
164,624,5
165,625,8
166,628,4
167,630,6
168,635,7
169,636,4
170,637,8
171,641,8
172,644,8
173,648,8
174,654,8
175,658,5
176,664,8
177,666,7
178,667,8
179,670,8
180,672,6
181,674,8
182,676,7
183,684,8
184,685,4
185,693,3
186,694,7
187,700,2
188,702,6
189,703,6
190,705,5
191,711,8
192,718,2
193,722,8
194,726,5
195,727,4
196,732,8
197,735,8
198,740,3
199,748,7
200,750,6
201,751,8
202,756,7
203,762,6
204,766,8
205,770,7
206,771,3
207,779,6
208,782,3
209,784,8
210,793,5
211,798,4
212,800,6
213,801,7
214,805,7
215,807,4
216,813,8
217,819,8
218,820,6
219,822,8
220,823,8
221,833,8
222,834,4
223,842,2
224,845,7
225,856,5
226,860,5
227,864,3
228,869,7
229,872,7
230,877,4
231,878,7
232,893,7
233,894,8
234,896,6
235,899,5
236,900,7
237,911,1
238,914,7
239,917,1
240,919,7
241,923,2
242,925,6
243,926,3
244,934,6
245,938,8
246,940,7
247,955,6
248,956,7
249,971,6
250,973,8
251,978,8
252,979,8
253,981,8
254,988,7
255,990,8
256,992,3
257,996,8
258,997,5
259,999,4
260,1000,8
261,1006,6
262,1009,2
263,1018,5
264,1025,4
265,1038,8
266,1042,8
267,1045,4
268,1046,8
269,1047,5
270,1050,5
271,1052,7
272,1054,8
273,1057,7
274,1061,2
275,1069,5
276,1071,6
277,1073,6
278,1074,8
279,1075,6
280,1083,6
281,1084,1
282,1089,4
283,1099,5
284,1103,4
285,1110,8
286,1123,7
287,1130,7
288,1135,7
289,1137,8
290,1145,8
291,1147,4
292,1152,8
293,1153,1
294,1154,8
295,1158,8
296,1166,7
297,1170,8
298,1172,7
299,1178,5
300,1179,8
301,1181,1
302,1182,8
303,1183,8
304,1191,6
305,1192,1
306,1200,2
307,1205,6
308,1207,6
309,1208,1
310,1209,3
311,1217,3
312,1223,8
313,1225,8
314,1226,4
315,1228,3
316,1230,6
317,1232,8
318,1235,8
319,1237,6
320,1257,7
321,1266,1
322,1267,6
323,1274,8
324,1277,8
325,1278,6
326,1280,8
327,1282,7
328,1293,6
329,1294,3
330,1305,8
331,1306,7
332,1311,8
333,1318,5
334,1320,8
335,1323,8
336,1325,2
337,1328,5
338,1336,4
339,1340,8
340,1341,8
341,1344,7
342,1345,7
343,1348,1
344,1358,1
345,1361,8
346,1364,5
347,1373,8
348,1377,5
349,1378,8
350,1380,7
351,1382,7
352,1383,4
353,1386,8
354,1387,1
355,1390,3
356,1395,8
357,1398,6
358,1402,3
359,1403,8
360,1405,8
361,1407,7
362,1410,1
363,1412,3
364,1419,5
365,1426,7
366,1428,8
367,1436,7
368,1437,3
369,1438,4
370,1441,8
371,1444,3
372,1448,3
373,1454,5
374,1457,6
375,1459,8
376,1463,7
377,1467,2
378,1471,6
379,1475,6
380,1476,4
381,1480,8
382,1481,1
383,1482,4
384,1489,4
385,1491,7
386,1494,8
387,1496,8
388,1500,8
389,1501,8
390,1503,7
391,1504,4
392,1505,3
393,1515,3
394,1517,6
395,1520,4
396,1521,3
397,1523,8
398,1526,7
399,1529,5
400,1530,7
401,1543,5
402,1544,8
403,1547,7
404,1550,8
405,1552,6
406,1554,6
407,1563,7
408,1574,6
409,1575,4
410,1576,5
411,1579,4
412,1582,3
413,1584,8
414,1585,7
415,1589,6
416,1596,6
417,1598,2
418,1611,6
419,1613,2
420,1615,7
421,1618,3
422,1627,7
423,1630,2
424,1638,8
425,1639,6
426,1640,8
427,1642,6
428,1645,5
429,1648,7
430,1654,5
431,1661,7
432,1662,8
433,1663,8
434,1666,4
435,1668,1
436,1670,1
437,1672,7
438,1681,6
439,1682,7
440,1683,1
441,1687,8
442,1688,8
443,1693,7
444,1694,7
445,1700,8
446,1704,6
447,1712,8
448,1716,8
449,1717,7
450,1722,4
451,1724,3
452,1738,1
453,1739,1
454,1740,8
455,1761,8
456,1763,8
457,1765,7
458,1766,7
459,1767,8
460,1771,5
461,1772,7
462,1777,8
463,1784,3
464,1799,4
465,1806,6
466,1810,1
467,1812,4
468,1814,2
469,1818,7
470,1819,8
471,1822,5
472,1823,8
473,1824,1
474,1834,5
